zone,polygon,region,year,month,day,trim,site,catch,destine,depth,divers_hours,effort,cpue,divers_num,depth2,latitude,longitude,utm_x,utm_y
1,2,10,2000,3,14,1,9105,85,2,25,100,2,42.5,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,16,1,9105,61,2,32,35,1.166666667,52.29,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,17,1,9105,24,2,23,30,0.5,48,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,21,1,9105,49,2,37,35,1.166666667,42,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,23,1,9105,73,2,44,30,0.5,146,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,27,1,9105,98,2,30,35,1.166666667,84,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,29,1,9105,122,2,20,100,2,61,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,31,1,9105,49,2,29,35,0.583333333,84,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,4,2,9105,82,2,25,30,1,82,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,6,2,9105,95,2,36,30,1,95,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,10,2,9105,159,2,38,45,1.5,106,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,12,2,9105,90,2,24,100,2,45,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,13,2,9105,218,2,42,30,1,218,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,18,2,9105,51,2,22,30,1,51,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,19,2,9105,51,2,28,40,1.333333333,38.25,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,4,27,2,9105,100,2,32,40,1.333333333,75,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,3,2,9105,98,2,42,30,1,98,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,8,2,9105,82,2,27,100,2,41,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,9,2,9105,59,2,30,30,1,59,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,10,2,9105,84,1,20,20,0.666666667,126,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,12,2,9105,39,1,40,10,0.166666667,234,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,15,2,9105,39,2,20,15,0.5,78,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,17,2,9105,25,2,37,30,0.5,50,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,19,2,9105,98,2,47,30,1,98,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,23,2,9105,59,2,35,35,0.583333333,101.14,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,25,2,9105,20,2,19,30,0.5,40,1,"[10,20)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,5,30,2,9105,78,2,30,30,1,78,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,1,2,9105,62,2,50,25,0.833333333,74.4,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,8,2,9105,41,2,40,30,0.5,82,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,12,2,9105,99,2,50,25,0.833333333,118.8,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,16,2,9105,62,2,25,30,1,62,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,21,2,9105,62,2,32,30,1,62,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,27,2,9105,60,2,35,30,1,60,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,6,29,2,9105,31,2,27,30,0.5,62,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,7,5,2,9105,169,2,32,100,2,84.5,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,7,7,2,9105,85,2,42,25,0.833333333,102,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,7,11,2,9105,169,2,40,40,1.333333333,126.75,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,7,17,2,9105,99,2,40,30,1,99,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,7,27,2,9105,28,2,30,30,0.5,56,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,8,22,2,9105,91,2,42,30,0.5,182,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,8,24,2,9105,202,2,44,35,1.166666667,173.14,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,8,30,2,9105,50,2,40,25,0.416666667,120,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,5,2,9105,163,2,55,20,0.666666667,244.5,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,7,2,9105,151,2,32,30,1,151,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,12,2,9105,47,2,30,30,1,47,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,20,2,9105,47,2,25,35,0.583333333,80.57,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,25,2,9105,47,2,37,30,1,47,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,9,28,2,9105,116,2,40,30,1,116,2,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,10,2,3,9105,98,2,37,30,1,98,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,10,4,3,9105,73,2,30,30,1,73,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,10,13,3,9105,98,2,25,30,1,98,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
